VendorNumber,VendorName,InvoiceDate,PONumber,PODate,PayDate,Quantity,Dollars,Freight,Approval
8352,LUXCO INC                  ,2016-03-27,9263,2016-03-09,2016-05-05,3579,26996.71,137.68,None
9552,M S WALKER INC             ,2016-03-24,9218,2016-03-06,2016-05-05,20303,141641.88,750.7,None
4425,MARTIGNETTI COMPANIES,2016-03-22,9309,2016-03-11,2016-04-25,32193,290103.52,1537.55,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-03-23,9252,2016-03-08,2016-04-27,4072,71771.06,380.39,None
10754,PERFECTA WINES             ,2016-03-24,9290,2016-03-10,2016-05-08,7077,70042.4,378.23,None
17035,PERNOD RICARD USA          ,2016-03-22,9291,2016-03-10,2016-05-08,23183,318218.51,1591.09,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-03-21,9292,2016-03-10,2016-04-25,6314,40752.55,207.84,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-03-28,9313,2016-03-11,2016-05-04,6000,55828.91,284.73,None
9819,TREASURY WINE ESTATES      ,2016-03-21,9227,2016-03-06,2016-04-30,6199,37825.11,208.04,None
8892,TRINCHERO FAMILY ESTATES   ,2016-03-23,9272,2016-03-09,2016-05-01,4689,29095.29,151.3,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-03-22,9298,2016-03-10,2016-04-21,11560,141718.8,651.91,None
9815,WINE GROUP INC             ,2016-03-23,9277,2016-03-09,2016-05-08,13056,78626.74,416.72,None
516,BANFI PRODUCTS CORP        ,2016-04-03,9316,2016-03-13,2016-05-14,2194,15426.4,77.13,None
1128,BROWN-FORMAN CORP          ,2016-04-03,9390,2016-03-18,2016-05-02,13312,158392.02,712.76,None
1392,CONSTELLATION BRANDS INC   ,2016-04-04,9331,2016-03-14,2016-05-04,32632,200462.77,922.13,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-04-04,9332,2016-03-14,2016-05-12,1395,10713.13,52.49,None
2555,DISARONNO INTERNATIONAL LLC,2016-03-31,9359,2016-03-16,2016-05-13,1350,14004.63,63.02,None
3252,E & J GALLO WINERY         ,2016-04-04,9373,2016-03-17,2016-05-03,22760,151855.6,728.91,None
9744,FREDERICK WILDMAN & SONS   ,2016-04-02,9375,2016-03-17,2016-05-13,686,7811.59,38.28,None
3924,HEAVEN HILL DISTILLERIES   ,2016-04-02,9360,2016-03-16,2016-05-05,5104,37985.47,186.13,None
12546,JIM BEAM BRANDS COMPANY    ,2016-03-29,9398,2016-03-18,2016-04-29,42045,337334.88,1787.87,Frank Delahunt
8352,LUXCO INC                  ,2016-04-01,9322,2016-03-13,2016-04-29,3774,29583.0,142.0,None
9552,M S WALKER INC             ,2016-04-02,9323,2016-03-13,2016-05-12,20092,153107.58,734.92,None
4425,MARTIGNETTI COMPANIES,2016-04-01,9350,2016-03-15,2016-05-01,33233,292322.07,1461.61,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-03-31,9377,2016-03-17,2016-05-12,3430,70566.24,331.66,None
10754,PERFECTA WINES             ,2016-03-30,9401,2016-03-18,2016-05-12,6257,51255.14,235.77,None
17035,PERNOD RICARD USA          ,2016-04-01,9339,2016-03-14,2016-05-15,21462,280795.82,1460.14,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-03-31,9403,2016-03-18,2016-05-04,4729,31813.61,146.34,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-04-01,9382,2016-03-17,2016-05-05,4456,43440.11,234.58,None
9819,TREASURY WINE ESTATES      ,2016-03-31,9369,2016-03-16,2016-04-29,6141,32794.21,150.85,None
8892,TRINCHERO FAMILY ESTATES   ,2016-03-28,9329,2016-03-13,2016-04-28,4601,28943.94,141.83,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-04-01,9412,2016-03-18,2016-05-09,11200,143620.79,732.47,None
90024,VINILANDIA USA             ,2016-04-01,9346,2016-03-14,2016-05-05,536,4981.54,23.41,None
9815,WINE GROUP INC             ,2016-04-01,9347,2016-03-14,2016-04-30,13355,79751.99,438.64,None
516,BANFI PRODUCTS CORP        ,2016-04-12,9473,2016-03-23,2016-05-19,3335,21639.98,106.04,None
1128,BROWN-FORMAN CORP          ,2016-04-05,9416,2016-03-20,2016-05-08,18422,257419.46,1390.07,Frank Delahunt
1392,CONSTELLATION BRANDS INC   ,2016-04-08,9493,2016-03-24,2016-05-09,63652,397663.8,1789.49,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-04-08,9435,2016-03-21,2016-05-19,1444,15462.19,69.58,None
3252,E & J GALLO WINERY         ,2016-04-07,9477,2016-03-23,2016-05-17,33887,205379.19,1088.51,None
9744,FREDERICK WILDMAN & SONS   ,2016-04-09,9455,2016-03-22,2016-05-22,1052,9873.8,49.37,None
3924,HEAVEN HILL DISTILLERIES   ,2016-04-07,9497,2016-03-24,2016-05-11,5054,40328.61,205.68,None
12546,JIM BEAM BRANDS COMPANY    ,2016-04-05,9420,2016-03-20,2016-05-19,52943,540430.75,2431.94,Frank Delahunt
8352,LUXCO INC                  ,2016-04-04,9459,2016-03-22,2016-05-22,3978,29144.0,131.15,None
9552,M S WALKER INC             ,2016-04-08,9422,2016-03-20,2016-05-19,21817,160987.37,724.44,None
4425,MARTIGNETTI COMPANIES,2016-04-04,9481,2016-03-23,2016-05-05,51209,564655.38,2710.35,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-04-04,9462,2016-03-22,2016-05-08,7181,163167.38,832.15,None
10754,PERFECTA WINES             ,2016-04-11,9463,2016-03-22,2016-05-14,16690,140517.77,772.85,None
7153,PINE STATE TRADING CO      ,2016-04-04,9483,2016-03-23,2016-05-20,7801,51169.59,260.96,None
7245,PROXIMO SPIRITS INC.       ,2016-04-04,9499,2016-03-24,2016-05-09,17059,239003.88,1147.22,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-04-05,9441,2016-03-21,2016-05-07,6389,60254.34,331.4,None
9819,TREASURY WINE ESTATES      ,2016-04-06,9516,2016-03-25,2016-05-18,16839,71790.82,344.6,None
8892,TRINCHERO FAMILY ESTATES   ,2016-04-04,9444,2016-03-21,2016-05-11,8313,51982.8,259.91,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-04-11,9445,2016-03-21,2016-05-13,19693,228876.57,1258.82,None
90024,VINILANDIA USA             ,2016-04-12,9446,2016-03-21,2016-05-08,810,7663.42,42.15,None
9815,WINE GROUP INC             ,2016-04-11,9503,2016-03-24,2016-05-17,13571,79960.01,431.78,None
516,BANFI PRODUCTS CORP        ,2016-04-14,9547,2016-03-29,2016-05-12,3197,24284.01,116.56,None
1392,CONSTELLATION BRANDS INC   ,2016-04-17,9523,2016-03-27,2016-05-18,40614,264586.04,1455.22,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-04-14,9602,2016-04-01,2016-05-26,1377,10446.22,51.19,None
3252,E & J GALLO WINERY         ,2016-04-11,9536,2016-03-28,2016-05-19,25053,164742.94,840.19,None
9744,FREDERICK WILDMAN & SONS   ,2016-04-13,9524,2016-03-27,2016-05-26,720,6426.7,32.78,None
3924,HEAVEN HILL DISTILLERIES   ,2016-04-17,9525,2016-03-27,2016-05-22,4871,38094.99,205.71,None
12546,JIM BEAM BRANDS COMPANY    ,2016-04-17,9605,2016-04-01,2016-05-20,42827,381919.3,1718.64,Frank Delahunt
8352,LUXCO INC                  ,2016-04-12,9607,2016-04-01,2016-05-12,4667,30868.12,163.6,None
9552,M S WALKER INC             ,2016-04-16,9571,2016-03-30,2016-05-28,18769,144893.28,681.0,None
4425,MARTIGNETTI COMPANIES,2016-04-16,9539,2016-03-28,2016-05-27,38318,394249.34,1813.55,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-04-16,9573,2016-03-30,2016-05-12,4485,83151.24,407.44,None
10754,PERFECTA WINES             ,2016-04-14,9552,2016-03-29,2016-05-20,10332,82812.69,397.5,None
7153,PINE STATE TRADING CO      ,2016-04-18,9591,2016-03-31,2016-05-29,5959,39810.31,187.11,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-04-16,9557,2016-03-29,2016-05-14,5046,58688.03,287.57,None
9819,TREASURY WINE ESTATES      ,2016-04-17,9579,2016-03-30,2016-05-18,8964,40264.95,209.38,None
8892,TRINCHERO FAMILY ESTATES   ,2016-04-18,9545,2016-03-28,2016-05-19,5830,35695.06,189.18,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-04-15,9559,2016-03-29,2016-05-13,15283,204150.85,959.51,None
9815,WINE GROUP INC             ,2016-04-13,9599,2016-03-31,2016-05-26,11679,75226.93,361.09,None
516,BANFI PRODUCTS CORP        ,2016-04-19,9690,2016-04-07,2016-06-03,3668,26944.41,126.64,None
90046,CANDIA VINEYARDS           ,2016-04-25,9620,2016-04-03,2016-05-24,23,226.87,1.25,None
1392,CONSTELLATION BRANDS INC   ,2016-04-23,9623,2016-04-03,2016-05-24,34559,221135.53,1172.02,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-04-23,9643,2016-04-04,2016-05-27,1786,12608.48,69.35,None
3252,E & J GALLO WINERY         ,2016-04-23,9644,2016-04-04,2016-05-31,25047,159548.86,813.7,None
9744,FREDERICK WILDMAN & SONS   ,2016-04-24,9676,2016-04-06,2016-05-30,875,7422.04,37.85,None
3924,HEAVEN HILL DISTILLERIES   ,2016-04-22,9661,2016-04-05,2016-05-28,5142,46733.73,224.32,None
12546,JIM BEAM BRANDS COMPANY    ,2016-04-20,9708,2016-04-08,2016-05-21,39751,334420.92,1805.87,Frank Delahunt
8352,LUXCO INC                  ,2016-04-25,9680,2016-04-06,2016-05-24,4151,30726.99,150.56,None
9552,M S WALKER INC             ,2016-04-22,9698,2016-04-07,2016-05-25,18040,139523.38,753.43,None
4425,MARTIGNETTI COMPANIES,2016-04-21,9682,2016-04-06,2016-05-31,29819,345415.39,1657.99,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-04-23,9684,2016-04-06,2016-05-25,5884,111979.28,604.69,None
10754,PERFECTA WINES             ,2016-04-25,9712,2016-04-08,2016-05-20,9755,88871.84,488.8,None
7153,PINE STATE TRADING CO      ,2016-04-25,9647,2016-04-04,2016-05-24,4811,33305.92,163.2,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-04-19,9714,2016-04-08,2016-06-01,4026,36993.13,192.36,None
9819,TREASURY WINE ESTATES      ,2016-04-20,9653,2016-04-04,2016-05-29,7553,39358.67,181.05,None
8892,TRINCHERO FAMILY ESTATES   ,2016-04-25,9716,2016-04-08,2016-06-02,5366,32818.22,157.53,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-04-24,9654,2016-04-04,2016-06-01,19665,212884.32,1064.42,None
90024,VINILANDIA USA             ,2016-04-19,9656,2016-04-04,2016-05-25,1423,12883.31,64.42,None
9815,WINE GROUP INC             ,2016-04-22,9670,2016-04-05,2016-05-26,10313,68825.97,378.54,None
516,BANFI PRODUCTS CORP        ,2016-04-29,9739,2016-04-11,2016-05-30,2962,22653.42,101.94,None
1128,BROWN-FORMAN CORP          ,2016-05-03,9763,2016-04-13,2016-06-09,16090,199050.33,1035.06,None
90046,CANDIA VINEYARDS           ,2016-05-03,9748,2016-04-12,2016-06-02,12,120.72,0.54,None
1392,CONSTELLATION BRANDS INC   ,2016-04-28,9749,2016-04-12,2016-05-26,34773,225706.96,1196.25,None
2555,DISARONNO INTERNATIONAL LLC,2016-04-26,9767,2016-04-13,2016-05-29,1400,16208.67,87.53,None
3252,E & J GALLO WINERY         ,2016-04-28,9751,2016-04-12,2016-05-30,27479,178492.84,856.77,None
9744,FREDERICK WILDMAN & SONS   ,2016-05-01,9790,2016-04-14,2016-06-03,1180,12022.41,61.31,None
3924,HEAVEN HILL DISTILLERIES   ,2016-04-30,9770,2016-04-13,2016-06-09,5917,53331.59,282.66,None
12546,JIM BEAM BRANDS COMPANY    ,2016-04-30,9772,2016-04-13,2016-06-12,43915,375658.64,1728.03,Frank Delahunt
8352,LUXCO INC                  ,2016-05-03,9775,2016-04-13,2016-06-10,4772,34470.55,158.56,None
9552,M S WALKER INC             ,2016-04-26,9806,2016-04-15,2016-05-31,18525,141764.71,652.12,None
4425,MARTIGNETTI COMPANIES,2016-05-02,9808,2016-04-15,2016-06-10,27965,311577.83,1589.05,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-04-29,9810,2016-04-15,2016-05-29,6348,145177.66,798.48,None
10754,PERFECTA WINES             ,2016-05-02,9755,2016-04-12,2016-06-04,7000,65397.16,294.29,None
7153,PINE STATE TRADING CO      ,2016-04-29,9791,2016-04-14,2016-06-10,7837,62251.82,305.03,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-04-28,9794,2016-04-14,2016-05-29,4882,44145.21,216.31,None
9819,TREASURY WINE ESTATES      ,2016-04-28,9746,2016-04-11,2016-06-04,7702,38545.07,188.87,None
8892,TRINCHERO FAMILY ESTATES   ,2016-04-29,9734,2016-04-10,2016-05-27,5192,33331.61,169.99,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-04-29,9759,2016-04-12,2016-06-03,14316,172558.04,828.28,None
9815,WINE GROUP INC             ,2016-05-03,9761,2016-04-12,2016-05-26,11724,76212.76,411.55,None
516,BANFI PRODUCTS CORP        ,2016-05-06,9872,2016-04-20,2016-06-18,6762,54823.63,257.67,None
90046,CANDIA VINEYARDS           ,2016-05-06,9833,2016-04-18,2016-06-06,1,10.06,0.05,None
1392,CONSTELLATION BRANDS INC   ,2016-05-09,9819,2016-04-17,2016-06-12,52624,354588.2,1666.56,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-05-02,9875,2016-04-20,2016-06-15,1541,10430.23,55.28,None
3252,E & J GALLO WINERY         ,2016-05-09,9905,2016-04-22,2016-06-17,47385,301415.42,1356.37,Frank Delahunt
9744,FREDERICK WILDMAN & SONS   ,2016-05-04,9836,2016-04-18,2016-06-12,1129,11642.76,55.89,None
3924,HEAVEN HILL DISTILLERIES   ,2016-05-10,9890,2016-04-21,2016-06-16,5920,47650.67,262.08,None
12546,JIM BEAM BRANDS COMPANY    ,2016-05-04,9907,2016-04-22,2016-06-17,49749,498593.97,2343.39,Frank Delahunt
8352,LUXCO INC                  ,2016-05-04,9858,2016-04-19,2016-06-04,4274,28606.11,143.03,None
9552,M S WALKER INC             ,2016-05-10,9877,2016-04-20,2016-06-07,21416,169623.82,915.97,None
4425,MARTIGNETTI COMPANIES,2016-05-04,9838,2016-04-18,2016-06-08,42259,430408.39,2367.25,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-05-08,9878,2016-04-20,2016-06-03,6920,186168.14,874.99,None
10754,PERFECTA WINES             ,2016-05-04,9879,2016-04-20,2016-06-03,7665,74724.66,366.15,None
7153,PINE STATE TRADING CO      ,2016-05-02,9842,2016-04-18,2016-06-04,6391,50665.71,243.2,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-05-08,9862,2016-04-19,2016-06-09,10929,91229.37,465.27,None
9819,TREASURY WINE ESTATES      ,2016-05-07,9915,2016-04-22,2016-06-05,11942,68134.04,347.48,None
8892,TRINCHERO FAMILY ESTATES   ,2016-05-10,9898,2016-04-21,2016-06-11,5176,31129.9,161.88,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-05-03,9866,2016-04-19,2016-06-05,25433,264647.84,1296.77,Frank Delahunt
9815,WINE GROUP INC             ,2016-05-09,9846,2016-04-18,2016-06-18,23289,127484.16,611.92,None
516,BANFI PRODUCTS CORP        ,2016-05-09,9985,2016-04-28,2016-06-20,6611,50969.7,259.95,None
1128,BROWN-FORMAN CORP          ,2016-05-10,10001,2016-04-29,2016-06-12,16679,227776.44,1138.88,None
90046,CANDIA VINEYARDS           ,2016-05-15,9986,2016-04-28,2016-06-13,71,823.49,4.12,None
1392,CONSTELLATION BRANDS INC   ,2016-05-11,9955,2016-04-26,2016-06-22,41880,285808.66,1486.21,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-05-12,9970,2016-04-27,2016-06-24,1682,12660.36,62.04,None
3252,E & J GALLO WINERY         ,2016-05-12,9958,2016-04-26,2016-06-20,38524,253473.94,1343.41,Frank Delahunt
9744,FREDERICK WILDMAN & SONS   ,2016-05-09,9935,2016-04-25,2016-06-14,1778,18405.95,92.03,None
3924,HEAVEN HILL DISTILLERIES   ,2016-05-13,10006,2016-04-29,2016-06-12,6782,53202.67,287.29,None
12546,JIM BEAM BRANDS COMPANY    ,2016-05-12,10007,2016-04-29,2016-06-22,45587,426994.13,1964.17,Frank Delahunt
8352,LUXCO INC                  ,2016-05-11,9961,2016-04-26,2016-06-21,4513,34497.68,169.04,None
9552,M S WALKER INC             ,2016-05-16,9939,2016-04-25,2016-06-09,25390,201226.95,1006.13,None
4425,MARTIGNETTI COMPANIES,2016-05-11,9973,2016-04-27,2016-06-24,46545,459435.46,2251.23,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-05-16,9990,2016-04-28,2016-06-16,7433,184974.54,943.37,None
10754,PERFECTA WINES             ,2016-05-15,9942,2016-04-25,2016-06-16,10342,104613.53,543.99,None
17035,PERNOD RICARD USA          ,2016-05-10,10014,2016-04-29,2016-06-10,30005,413006.63,1982.43,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-05-09,9975,2016-04-27,2016-06-24,7386,57740.96,265.61,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-05-09,9993,2016-04-28,2016-06-25,8724,75028.11,375.14,None
9819,TREASURY WINE ESTATES      ,2016-05-10,9928,2016-04-24,2016-06-10,10168,62028.82,310.14,None
8892,TRINCHERO FAMILY ESTATES   ,2016-05-12,10018,2016-04-29,2016-06-13,6506,39191.33,207.71,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-05-17,9995,2016-04-28,2016-06-12,24011,264567.56,1402.21,Frank Delahunt
90024,VINILANDIA USA             ,2016-05-09,9996,2016-04-28,2016-06-11,4485,37928.72,182.06,None
9815,WINE GROUP INC             ,2016-05-10,9983,2016-04-27,2016-06-20,19205,113221.79,532.14,None
516,BANFI PRODUCTS CORP        ,2016-05-23,10096,2016-05-06,2016-06-17,4615,36438.43,167.62,None
1128,BROWN-FORMAN CORP          ,2016-05-22,10035,2016-05-02,2016-07-03,16039,181190.81,978.43,None
1392,CONSTELLATION BRANDS INC   ,2016-05-21,10098,2016-05-06,2016-07-02,33544,220368.1,1013.69,None
3252,E & J GALLO WINERY         ,2016-05-16,10084,2016-05-05,2016-06-29,34271,218745.23,1028.1,None
9744,FREDERICK WILDMAN & SONS   ,2016-05-16,10039,2016-05-02,2016-06-17,1322,11211.84,57.18,None
3924,HEAVEN HILL DISTILLERIES   ,2016-05-23,10101,2016-05-06,2016-06-20,9208,101443.64,507.22,None
8352,LUXCO INC                  ,2016-05-24,10025,2016-05-01,2016-06-27,4277,34488.69,186.24,None
9552,M S WALKER INC             ,2016-05-19,10026,2016-05-01,2016-06-29,19243,150382.46,706.8,None
4425,MARTIGNETTI COMPANIES,2016-05-16,10068,2016-05-04,2016-06-16,36518,349521.04,1747.61,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-05-17,10105,2016-05-06,2016-06-24,5356,112578.22,540.38,None
10754,PERFECTA WINES             ,2016-05-21,10107,2016-05-06,2016-06-20,8037,82530.59,445.67,None
7153,PINE STATE TRADING CO      ,2016-05-23,10060,2016-05-03,2016-06-17,6576,44438.19,204.42,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-05-18,10048,2016-05-02,2016-06-16,7983,70354.63,358.81,None
9819,TREASURY WINE ESTATES      ,2016-05-18,10078,2016-05-04,2016-06-16,7175,43551.11,200.34,None
8892,TRINCHERO FAMILY ESTATES   ,2016-05-17,10111,2016-05-06,2016-06-19,7212,45483.83,245.61,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-05-23,10051,2016-05-02,2016-06-23,21242,233097.26,1118.87,None
90024,VINILANDIA USA             ,2016-05-18,10052,2016-05-02,2016-06-17,1196,11353.32,60.17,None
9815,WINE GROUP INC             ,2016-05-22,10064,2016-05-03,2016-06-25,13655,81192.32,397.84,None
516,BANFI PRODUCTS CORP        ,2016-05-25,10149,2016-05-10,2016-06-24,4172,29548.14,135.92,None
1128,BROWN-FORMAN CORP          ,2016-05-24,10201,2016-05-13,2016-07-08,14647,179195.54,985.58,None
90046,CANDIA VINEYARDS           ,2016-05-27,10154,2016-05-10,2016-07-01,21,257.23,1.41,None
1392,CONSTELLATION BRANDS INC   ,2016-05-27,10190,2016-05-12,2016-06-26,30467,202578.16,1114.18,None
1590,DIAGEO CHATEAU ESTATE WINES,2016-05-25,10172,2016-05-11,2016-06-27,1552,11654.98,64.1,None
2555,DISARONNO INTERNATIONAL LLC,2016-05-27,10173,2016-05-11,2016-07-10,1418,13630.8,65.43,None
3252,E & J GALLO WINERY         ,2016-05-26,10118,2016-05-08,2016-06-28,31536,204359.35,980.92,None
9744,FREDERICK WILDMAN & SONS   ,2016-05-29,10119,2016-05-08,2016-06-26,1200,12872.2,60.5,None
3924,HEAVEN HILL DISTILLERIES   ,2016-05-29,10176,2016-05-11,2016-07-08,6301,57451.92,264.28,None
12546,JIM BEAM BRANDS COMPANY    ,2016-05-23,10132,2016-05-09,2016-07-09,43700,377097.44,1696.94,Frank Delahunt
8352,LUXCO INC                  ,2016-05-29,10205,2016-05-13,2016-06-24,4314,31768.74,152.49,None
9552,M S WALKER INC             ,2016-05-24,10206,2016-05-13,2016-06-23,19429,162055.76,794.07,None
4425,MARTIGNETTI COMPANIES,2016-05-29,10193,2016-05-12,2016-07-09,38207,386950.89,1973.45,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-05-27,10210,2016-05-13,2016-07-03,5573,122298.18,599.26,None
10754,PERFECTA WINES             ,2016-05-30,10138,2016-05-09,2016-07-07,7389,88770.38,408.34,None
17035,PERNOD RICARD USA          ,2016-05-28,10179,2016-05-11,2016-06-30,25715,367331.89,1726.46,Frank Delahunt
7153,PINE STATE TRADING CO      ,2016-05-28,10180,2016-05-11,2016-07-09,5971,47375.73,246.35,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-05-25,10164,2016-05-10,2016-07-03,8338,94472.93,500.71,None
9819,TREASURY WINE ESTATES      ,2016-05-27,10144,2016-05-09,2016-06-25,7075,42505.33,229.53,None
8892,TRINCHERO FAMILY ESTATES   ,2016-05-30,10199,2016-05-12,2016-06-25,5833,36406.54,196.6,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-05-25,10219,2016-05-13,2016-07-10,16000,228600.79,1257.3,None
90024,VINILANDIA USA             ,2016-05-24,10125,2016-05-08,2016-07-08,955,8039.65,38.59,None
9815,WINE GROUP INC             ,2016-05-25,10221,2016-05-13,2016-07-07,14543,86976.61,417.49,None
516,BANFI PRODUCTS CORP        ,2016-06-05,10274,2016-05-18,2016-07-09,4076,29317.46,155.38,None
1392,CONSTELLATION BRANDS INC   ,2016-06-01,10291,2016-05-19,2016-07-12,64829,472866.46,2364.33,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-05-31,10313,2016-05-20,2016-06-30,8837,67673.82,311.3,None
3252,E & J GALLO WINERY         ,2016-06-06,10293,2016-05-19,2016-07-11,47050,295574.83,1507.43,Frank Delahunt
9744,FREDERICK WILDMAN & SONS   ,2016-06-02,10315,2016-05-20,2016-07-01,2091,17972.42,97.05,None
3924,HEAVEN HILL DISTILLERIES   ,2016-05-30,10243,2016-05-16,2016-07-15,6527,48025.57,220.92,None
8352,LUXCO INC                  ,2016-05-30,10298,2016-05-19,2016-07-16,4986,35162.76,161.75,None
9552,M S WALKER INC             ,2016-06-05,10229,2016-05-15,2016-07-08,33293,249142.22,1195.88,None
4425,MARTIGNETTI COMPANIES,2016-06-07,10247,2016-05-16,2016-07-05,80310,826621.86,4546.42,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-06-05,10301,2016-05-19,2016-07-14,6798,143212.24,759.02,None
10754,PERFECTA WINES             ,2016-06-06,10232,2016-05-15,2016-06-30,9806,99923.79,459.65,None
7153,PINE STATE TRADING CO      ,2016-06-03,10303,2016-05-19,2016-06-30,10424,64330.08,315.22,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-06-06,10251,2016-05-16,2016-07-05,14830,126932.71,621.97,None
9819,TREASURY WINE ESTATES      ,2016-06-01,10308,2016-05-19,2016-07-10,18502,112325.16,505.46,None
8892,TRINCHERO FAMILY ESTATES   ,2016-05-30,10255,2016-05-16,2016-07-15,11197,77813.14,404.63,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-06-07,10309,2016-05-19,2016-07-05,25416,303032.33,1484.86,Frank Delahunt
90024,VINILANDIA USA             ,2016-06-05,10237,2016-05-15,2016-07-16,871,8184.76,42.56,None
9815,WINE GROUP INC             ,2016-06-05,10256,2016-05-16,2016-07-12,20396,114719.7,630.96,None
516,BANFI PRODUCTS CORP        ,2016-06-06,10326,2016-05-22,2016-07-19,4053,27953.23,145.36,None
1128,BROWN-FORMAN CORP          ,2016-06-11,10378,2016-05-25,2016-07-23,20745,297968.12,1430.25,Frank Delahunt
90046,CANDIA VINEYARDS           ,2016-06-14,10380,2016-05-25,2016-07-08,71,913.95,4.94,None
1392,CONSTELLATION BRANDS INC   ,2016-06-09,10394,2016-05-26,2016-07-20,51647,330086.3,1518.4,Frank Delahunt
1590,DIAGEO CHATEAU ESTATE WINES,2016-06-08,10349,2016-05-23,2016-07-17,3626,27435.26,123.46,None
3252,E & J GALLO WINERY         ,2016-06-10,10396,2016-05-26,2016-07-10,44507,264264.7,1294.9,Frank Delahunt
9744,FREDERICK WILDMAN & SONS   ,2016-06-09,10360,2016-05-24,2016-07-11,2136,21925.86,100.86,None
3924,HEAVEN HILL DISTILLERIES   ,2016-06-10,10419,2016-05-27,2016-07-17,7689,67813.56,366.19,None
12546,JIM BEAM BRANDS COMPANY    ,2016-06-09,10332,2016-05-22,2016-07-08,49777,496937.24,2584.07,Frank Delahunt
8352,LUXCO INC                  ,2016-06-14,10398,2016-05-26,2016-07-20,6373,62550.05,287.73,None
9552,M S WALKER INC             ,2016-06-10,10383,2016-05-25,2016-07-16,23832,183148.33,934.06,None
4425,MARTIGNETTI COMPANIES,2016-06-07,10384,2016-05-25,2016-07-13,56393,573709.39,2811.18,Frank Delahunt
8112,MOET HENNESSY USA INC      ,2016-06-09,10335,2016-05-22,2016-07-10,6591,140623.21,689.05,None
10754,PERFECTA WINES             ,2016-06-11,10422,2016-05-27,2016-07-07,6900,64476.98,328.83,None
7153,PINE STATE TRADING CO      ,2016-06-12,10387,2016-05-25,2016-07-08,9833,63061.02,283.77,None
2000,SOUTHERN WINE & SPIRITS NE ,2016-06-07,10339,2016-05-22,2016-07-19,11805,100853.98,514.36,None
9819,TREASURY WINE ESTATES      ,2016-06-08,10408,2016-05-26,2016-07-17,10105,61506.82,282.93,None
8892,TRINCHERO FAMILY ESTATES   ,2016-06-08,10424,2016-05-27,2016-07-10,7147,44174.89,234.13,None
9165,ULTRA BEVERAGE COMPANY LLP ,2016-06-12,10344,2016-05-22,2016-07-23,23832,281979.98,1268.91,Frank Delahunt
90024,VINILANDIA USA             ,2016-06-10,10391,2016-05-25,2016-07-07,1196,11221.3,51.62,None
9815,WINE GROUP INC             ,2016-06-09,10376,2016-05-24,2016-07-11,18627,109241.2,513.43,None
516,BANFI PRODUCTS CORP        ,2016-06-15,10466,2016-05-31,2016-07-21,3504,24810.26,111.65,None
1128,BROWN-FORMAN CORP          ,2016-06-18,10480,2016-06-01,2016-07-28,27324,481113.96,2357.46,Frank Delahunt
90046,CANDIA VINEYARDS           ,2016-06-21,10446,2016-05-30,2016-07-22,59,805.01,4.11,None
